RIESES GIMNAZIJA,5103
RIESUTU,1645
RINKTINES,5188
RIOVONYS,2406
RUDENS,1213
RUDNINKU,413
RUGIU,5142
RYGOS,1911
RYTO,1608
S.KONARSKIO,507
SAKALAICIU,2638
SAKALISKES,2237
SALCININKU KRYPTIS,2634
SALININKAI,2719
SALININKU SODAI,2637
SALNOS,1642
SALOS,4104
SALTONISKES,321
SAMANU,5128
SANTARISKES,2121
SANTARISKIU ZIEDAS,2136
SAUDYKLA,1215
SAULETEKIS,1122
SAULIU SAJUNGA,1805
SAUSUPIO,2412
SAVANORIU PROSPEKTAS,603
SEMINARIJA,2005
SENOJI PLYTINE,1005
SESKINE,1902
SESKINES KALVOS,1923
SESKINES POLIKLINIKA,1921
SIAURES,2335
SIAURES MIESTELIS,901
SIESIKU,1905
SIETYNO,5176
SILO TILTAS,1108
SILTNAMIU,1628
SILTNAMIU ZIEDAS,95
SKALVIU,3306
SKERSINES,5116
SNIPISKES,115
SPAUDOS RUMAI,1811
SPORTO GIMNAZIJA,3812
SROVES,1208
ST.BATORO,2317
ST.KRASAUSKO,42
ST.LOZORAICIO,3801
STADIONAS,1304
STATYBININKU,612
STOTIS F,585
STOTIS K,587
STOTIS P,590
STREFA MIÊDZYPRZYSTANKOWA,65534
STUDENTU,320
SUBACIAUS,423
SUMSKO KRYPTIS,1427
SVIESOS,4103
T.NARBUTO,1820
T.ZEBRAUSKO,5011
TAKAS,3803
TARANDE,5006
TAURAGNU,803
TELEVIZIJOS BOKSTAS,1709
TRAKU,409
TREMTINIU,2345
TRIMITU,913
TUSKULENAI,910
TUSKULENU RIMTIES PA,905
TVERECIAUS,1113
UKMERGES,1916
ULONU,7
UMEDZIU,2416
UOSIU,2325
UZUPIO,426
UZUTEKIO,1649
V.KUDIRKOS AIKSTE,211
V.PIETARIO,611
VADUVOS,2415
VAIKU KAIMAS,1907
VAIKU LIGONINE,2138
VAIVORYKSTES,1715
VAKARIO,1020
VALAKAMPIU TILTAS,819
VALKININKU,2417
VANAGINE,5106
VANAGINES ZIEDAS,5206
VANDENU,33
VANDENVALA,2933
VAP,824
VASAROS,1102
VERKIU,823
VERKIU RIESE,2213
VERKIU RUMAI,2129
VILKPEDES,2404
VILKPEDES ZIEDAS,2424
VILNIAUS,2714
VILNIAUS RAJ. POLIKL,3314
VILNIAUS UNIVERSITET,1022
VINGIO PARKAS,609
VINGIS,509
VINGRIAI,411
VIRSULISKES,1808
VISORIAI,2111
VOKES PARKAS,48
ZALCIU,2258
ZALGIRIO,705
ZALIASIS TILTAS,101
ZALIOJI,37
ZALIUJU EZERU,2116
ZARASU,1202
ZEMAITES,601
ZEMIEJI PANERIAI,2413
ZEMYNOS,3316
ZERUCIO,1641
ZIRMUNAI,822
ZIRMUNU SENIUNIJA,815
ZIRNIU,1314
ZVEJU,5183
ZVERYNAS,315
ZYGIO,5187
