"stop_number","stop_name","lon","lat","distance_from_center"
"0548","Stotis (Atstova Šv.Stepono g.)",25.27636,54.66824,2.15632130127319
"0601","Žemaitės st.",25.25194,54.67489,2.27662254367032
"0602","Savanorių prospektas",25.2484,54.67392,2.5228660654655
"0603","Savanorių prospektas",25.247,54.6734,2.62958202288798
"0604","Gerosios Vilties st.",25.244,54.67165,2.90082300742915
"0605","Gerosios Vilties st.",25.24237,54.67102,3.02662885779698
"0606","Gerosios Vilties st.",25.24196,54.6708,3.0624298049708
"0607","Gerosios Vilties st.",25.24159,54.6704,3.108422797755
"0608","Eigulių st.",25.23571,54.66935,3.48151609861696
"0609","Vingio parkas",25.23943,54.6728,3.06887101808738
"0610","Vingio parkas",25.24199,54.67405,2.8556373623633
"0611","Vinco Pietario st.",25.24579,54.67688,2.48639248819958
"0612","Statybininkų st.",25.25735,54.67135,2.30648200450871
"0613","st.Estrados alėja",25.24898,54.68218,2.06846533098117
"0614","st.Estrados alėja",25.24869,54.68222,2.08506067774457
"0701","Linkmenų st.",25.26979,54.70487,2.03258920560261
"0702","Linkmenų st.",25.27236,54.70453,1.949838026061
"0703","Kalvarijų turgus",25.28249,54.69931,1.32123465730237
"0704","Kalvarijų turgus",25.28301,54.70019,1.42276235790418
"0705","Žalgirio st.",25.28353,54.70308,1.74561643529468
"0706","Žalgirio st.",25.28302,54.7039,1.83198439073087
"0707","Giedraičių st.",25.28494,54.70734,2.22739629061066
"0708","Tauragnų st.",25.28625,54.71169,2.7182503270948
"0709","Pramogų arena",25.28664,54.71448,3.02875946003367
"0710","Licėjus",25.278,54.71294,2.82782928026718
"0711","Žalgirio st.",25.28221,54.70378,1.81354239103092
"0801","Jono Kazlausko st.",25.28381,54.72241,3.88702624896856
"0802","Pramogų arena",25.28694,54.71626,3.22740164146118
"0803","Tauragnų st.",25.28672,54.71234,2.79434941160074
"0804","Pramogų arena",25.28821,54.71504,3.10633349397302
"0805","Pramogų arena",25.28943,54.71556,3.17761792692211
"0806","Verkių st.",25.29562,54.71732,3.46493974309925
"0807","Verkių st.",25.2936,54.71687,3.38080180943723
"0808","Kareivių st.",25.30161,54.71989,3.86148780380789
"0809","Kareivių st.",25.30163,54.71967,3.8391733499307
"0810","Kareivių st.",25.30393,54.71859,3.78572779652172
"0811","Kareivių st.",25.30356,54.71934,3.85247371322421
"0812","Kareivių st.",25.30316,54.72062,3.97376477035908
"0813","Autobusų parkas",25.29669,54.72216,4.00065689704955
"0814","Žirmūnų seniūnija",25.30071,54.7219,4.05100972084169
"0815","Žirmūnų seniūnija",25.29994,54.72236,4.08335283510646
"0816","Šaltinėlio st.",25.29826,54.72541,4.37583943480635
"0817","Šaltinėlio st.",25.29674,54.72657,4.47538651611657
"0818","Žirmūnų  žiedas",25.2971,54.72666,4.49076190326317
"0819","Valakampių tiltas",25.30725,54.72356,4.37732664299288
"0820","Valakampių tiltas",25.30849,54.72409,4.46362705466138
"0821","Žirmūnai",25.30545,54.71666,3.6342667913764
"0822","Žirmūnai",25.30509,54.71595,3.5534523719988
"0823","Verkių st.",25.29553,54.71843,3.58147880677381
"0825","Ozo žiedas",25.2777,54.71465,3.01862361755656
"0826","Išlaipinama",25.27796,54.71555,3.11792404729949
"0827","Ozo žiedas",25.2773,54.71539,3.10205237384375
"0830","Trinapolis",25.29066,54.73161,4.95087232725497
"0901","Šiaurės miestelis",25.30509,54.71182,3.15209092946873
"0902","Šiaurės miestelis",25.30465,54.71083,3.04337300150451
"0903","Minties st.",25.30454,54.70418,2.44033099308257
"0904","Minties st.",25.30416,54.70362,2.37729010189173
"0905","Tuskulėnų rimties parkas",25.3013,54.69823,1.82338808249897
"0906","Tuskulėnų rimties parkas",25.30032,54.69757,1.72784475879215
"0907","„Žalgirio“ stadionas",25.28955,54.69497,1.03781573556648
"0908","Šeimyniškių st.",25.29616,54.69566,1.38662943664673
"0909","Tuskulėnai",25.29706,54.69702,1.53100160372294
"0910","Tuskulėnai",25.2967,54.6977,1.5679444817036
"0911","Mikalojaus Katkaus st.",25.2929,54.70009,1.63072203032594
"0912","Mikalojaus Katkaus st.",25.29246,54.70078,1.68304112949578
"0913","Trimitų st.",25.28893,54.70295,1.81222972376096
"0914","Broniaus Laurinavičiaus skveras",25.28405,54.70419,1.87253131654308
"0915","Žalgirio st.",25.28434,54.70436,1.89401517670512
"0916","Giedraičių st.",25.2855,54.70804,2.30983293261746
"0917","Apkasų st.",25.29142,54.70394,1.97158623367484
"0918","Apkasų st.",25.2927,54.70393,2.00317352721143
"0919","Minties st.",25.29864,54.70507,2.29556653589801
"0920","Minties st.",25.29968,54.70506,2.33057448344769
"0921","Povilo Lukšio st.",25.30239,54.71072,2.95909156181592
"0922","Šiaurės miestelis",25.30392,54.71139,3.07262494132336
"0923","Povilo Lukšio st.",25.30113,54.71075,2.92317437390975
"0924","Šiaurės miestelis",25.29786,54.71152,2.9090492820382
"0925","Šiaurės miestelis",25.29938,54.71119,2.91622651062881
"0926","Jono Galvydžio st.",25.29233,54.71183,2.81943605715828
"0927","Ulonų st.",25.29121,54.70889,2.48571220779675
"0928","Ulonų st.",25.291,54.70921,2.51583925630434
"1001","Saulėtekis",25.32752,54.72624,5.284516604154
"1002","Gedimino technikos universitetas",25.33451,54.72412,5.37662039439291
"1003","Gedimino technikos universitetas",25.33566,54.72385,5.4027369411662
"1004","Senoji plytinė",25.33967,54.72403,5.59169541255213
"1005","Senoji plytinė",25.34075,54.72416,5.65005617512569
"1006","Plytinės st.",25.34671,54.72762,6.19265828485484
"1007","Plytinės st.",25.34778,54.72791,6.26363290090991
"1008","Aukštagiris",25.35661,54.73057,6.87397982587175
"1009","Dvarčionių kryžkelė",25.37073,54.73347,7.75977076160803
"1011","Dvarčionys",25.37052,54.72972,7.48154537578579
"1012","Keramikų st.",25.37465,54.72949,7.67445892673143
"1013","Keramikų st.",25.37489,54.72956,7.69142888766223
"1014","Baniškės",25.38833,54.73453,8.71304047720196
"1015","Kairėnai",25.40082,54.73625,9.47528197455863
"1016","Paliuliškės",25.41033,54.73365,9.82891877709206
"1017","Paliuliškės",25.41064,54.73315,9.81711339208247
"1018","Lubinų st.",25.41217,54.72959,9.70486885066507
"1019","Rokantiškės",25.36406,54.70411,5.71992610905778
"1020","Vakario st.",25.4124,54.71359,8.99936224037083
"1021","Saulėtekis",25.32671,54.72719,5.34135629563442
"1022","Vilniaus universitetas",25.33134,54.72489,5.31240891503484
"1023","Vilniaus universitetas",25.33199,54.72454,5.30831779721558
"1024","Lubinų st.",25.41189,54.72898,9.65660999956941
"1025","Purienų st.",25.41212,54.72529,9.48123272801516
"1026","Dvarčionys",25.37033,54.72986,7.4818171443868
"1027","Keramikų st.",25.37476,54.72937,7.67197898032075
"1028","Senoji plytinė(išlaipinimas)",25.34072,54.72493,5.71074052915186
"1030","Klonio st.",25.37112,54.70586,6.21211590411163
"1031","Klonio st.",25.371,54.70582,6.20337519741353
"1032","Juodvarnių st.",25.37632,54.72255,7.32238357723005
"1033","Juodvarnių st.",25.37637,54.72228,7.30920586746122
"1034","Stanislovo Kerbedžio st.",25.37415,54.72065,7.09285839557279
"1036","Stanislovo Kerbedžio st.",25.37309,54.72063,7.03358087988348
"1038","Stepono Kairio st.",25.37036,54.72085,6.89782114319944
"1039","Stepono Kairio st.",25.36923,54.72081,6.83428685065821
"1040","Moliakalnio st.",25.35519,54.71583,5.77637497000324
"1042","Moliakalnio st.",25.35526,54.71578,5.7771247081564
"1043","Pylimėliai",25.35994,54.71888,6.21802761604119
"1045","Pylimėliai",25.35947,54.71845,6.16628073029768
"1046","Duburio st.",25.39168,54.70728,7.51722978336114
"1101","Krivių st.",25.30531,54.68802,1.64053980905593
"1102","Vasaros st.",25.30503,54.69122,1.67267933883814
"1103","Leono Sapiegos st.",25.30809,54.6963,2.06314744658305
"1104","Leono Sapiegos st.",25.30873,54.69697,2.13509474094194
"1105","Petro Vileišio st.",25.30922,54.70165,2.45756107986731
"1106","Petro Vileišio st.",25.31002,54.70313,2.60391259855439
"1107","Šilo tiltas",25.31024,54.70447,2.71559822728809
"1108","Šilo tiltas",25.31096,54.70545,2.82487660840874
"1109","Klinikų st.",25.31437,54.71058,3.39168791421123
"1110","Klinikų st.",25.31486,54.71125,3.46868588498715
"1111","Klinikų st.",25.31669,54.71134,3.55363110235009
"1112","Klinikų st.",25.31573,54.71161,3.53546320053479
"1113","Tverečiaus st.",25.31646,54.71619,3.96285874508892
"1114","Tverečiaus st.",25.31659,54.7175,4.08572303152599
"1115","Antakalnis",25.31724,54.7196,4.30149824800536
"1116","Antakalnis",25.31821,54.72106,4.47108315515872
"1117","Nemenčinės plentas",25.32007,54.72385,4.79622589872695
"1118","Antakalnio žiedas",25.31872,54.72291,4.66147388103823
"1119","Nemenčinės plentas",25.32004,54.72278,4.69543739363341
"1121","Lizdeikos st.",25.31552,54.72728,4.9801932166144
"1122","Saulėtekis",25.32482,54.72622,5.18396729695742
"1123","Lakštingalų st.",25.32883,54.7288,5.56598320440165
"1125","Žolyno st.",25.33847,54.70782,4.393568621646
"1126","Lyglaukiai",25.35406,54.70277,5.06408636183874
"1127","Šilo st.",25.3477,54.69905,4.54775700722821
"1128","Viršupis",25.34397,54.69579,4.22511840510991
"1129","Šilo tiltas",25.31007,54.70519,2.76402007786317
"1130","Bistryčios st.",25.32978,54.70834,3.95840164330453
"1131","Bistryčios st.",25.32956,54.70839,3.95020099607209
"1132","Lizdeikos st.",25.31625,54.7272,4.99411793417706
"1133","Antakalnio žiedas",25.31872,54.72291,4.66147388103823
"1134","Žolyno st.",25.33774,54.70782,4.35338369046553
"1135","pagal pareikalavimą",25.30903,54.69945,2.29901084394511
"1201","Zarasų st.",25.3104,54.67624,2.33353662856576
"1202","Zarasų st.",25.3094,54.67658,2.25900423637378
"1203","Zarasų st.",25.31012,54.67669,2.29166593323425
"1204","Paplaujos st.",25.31948,54.67465,2.92538092701003
"1205","Paplaujos st.",25.31879,54.6749,2.8730885960952
"1206","Markučiai",25.32209,54.67437,3.08742228476825
